date,block,elapsed_seconds,debt,nav,tab,rebate,owe,gain,sde,gap,daily_tab,daily_rebate,daily_owe,daily_gain,daily_sde,net_cost_of_funds,pipeline_daily_cost_of_funds,pipeline_utilized,pipeline_ssr_apy,pipeline_sub_apr,pipeline_sde_av,pipeline_lending_idle,pipeline_debt_difference
2026-08-01,25663469,86400,2793199823.95293900000000001,1881754251.908228237684742475,280102.604058665397181818,157584.713206857975271109,2438.023036693011222981,17493.745985829032284197,0,0,280102.604058665397181818,157584.713206857975271109,2438.023036693011222981,17493.745985829032284197,0,122517.890851807421910709,122547.1601635090956340419715,1221498581.944331009321096875,0.03519999850777533,0.03661299593747347,1571701242.008607990678903125,0,1E-17
2026-08-02,25670641,86400,2793199823.95293900000000001,1881756825.154720298930858602,560205.208117331876911415,315169.426413716899372078,4876.046073386042374266,20066.992477890278400324,0,0,280102.604058666479729597,157584.713206858924100969,2438.023036693031151285,2573.246492061246116127,0,245035.781703614977539337,122547.1601635090956340419715,1221498581.944331009321096875,0.03519999850777533,0.03661299593747347,1571701242.008607990678903125,0,1E-17
2026-08-03,25677819,86400,2793199823.95293900000000001,1882248660.593645846692652616,840307.812175998984015261,472754.139620576373353092,7314.069110079087282124,73516.655462465440194338,230948.8559409726,207436.92,280102.604058667107103846,157584.713206859473981014,2438.023036693044907858,53449.662984575161794014,230948.8559409726,367553.672555422610662169,122309.0845099920569170494279,1221060200.877772198363582010,0.03519999850777533,0.03654216260414014,1572139623.075166801636417990,0,1E-17
2026-08-04,25684999,86400,2793199823.95293900000000001,1882433334.579627438034023618,1120410.416234664359483113,630382.807047897889412423,9752.092146772113958482,122228.89322117472756534,297924.024163854654,276423.5,280102.604058665375467852,157628.667427321516059331,2438.023036693026676358,48712.237758709287371002,66975.168222882054,490027.60918676647007069,122489.4699506608110766266567,1220923955.611630003618781662,0.03519999850777533,0.03661299593747347,1572275868.341308996381218338,0,1E-17
2026-08-05,25692172,86400,2803199823.95293900000000001,1882659533.533442453620085646,1401515.658218094415358296,788025.106515728378826491,12190.115183465152428711,173014.743303342917627368,404160.49789670205,-9654399.87,281105.241983430055875183,157642.299467830489414068,2438.023036693038470229,50785.850082168190062028,106236.473732847396,613490.551702366036531805,123087.6733959388486962946487,1230748359.254491404384733140,0.03519999850777533,0.036471329270806804,1572451464.698447595615266860,0,1E-17
2026-08-06,25699361,86400,2806199823.95293900000000001,1882872430.256268813867246827,1682921.691578954500976376,945684.993566589853837732,14628.13822015820652112,233785.175610801835229885,487302.086035452186,-12585415.167619848806441336,281406.03336086008561808,157659.887050861475011241,2438.023036693054092409,60770.432307458917602517,83141.588138750136,737236.698012364647138644,123567.6670358601732646402884,1233596376.869063751211055633,0.03519999850777533,0.03654216260414014,1572603447.083875248788944367,0,1E-17
2026-08-07,25706531,86400,2806699823.95293900000000001,1878548949.514847056746095087,1964377.856836051892358714,1103360.15328942651717533,17066.161256851253693407,271487.316726235088223352,557356.572337547208,-17516652.536459134202586543,281456.165257097391382338,157675.159722836663337598,2438.023036693047172287,37702.141115433252993467,70054.486302095022,861017.703546625375183384,123021.6828986789867769429967,1233957024.966094251251450085,0.03519999850777533,0.03632966260414013,1572742798.986844748748549915,0,1E-17
2026-08-08,25713689,86400,2799200028.37633900000000001,1876069194.684636141023720802,2245834.022093149634856705,1261049.246747333650512996,19504.184293544310843066,291860.079580899147132368,557356.572337547208,-12516984.552924713983869844,281456.165257097742497991,157689.093457907133337666,2438.023036693057149659,20372.762854664058909016,0,984784.775345815984343709,122268.7330623932822753123935,1226457229.389494251251450085,0.03519999850777533,0.03632966260414013,1572742798.986844748748549915,0,1E-17
2026-08-09,25720867,86400,2799200028.37633900000000001,1876071416.155103812747103578,2526538.229402940831437979,1418738.340205241875160347,21942.207330237390117668,294081.550048570870515144,557356.572337547208,-12516984.552924713983869844,280704.207309791196581274,157689.093457908224647351,2438.023036693079274602,2221.470467671723382776,0,1107799.889197698956277632,122268.7330623932822753123935,1226457229.389494251251450085,0.03519999850777533,0.03632966260414013,1572742798.986844748748549915,0,1E-17
2026-08-10,25728039,86400,2777009373.78026000000000001,1872099381.236614143553740171,2807242.436712730555961372,1576427.433663148813031656,24380.23036693045475025,345679.405359992025451353,828336.563308288392,5379057.27838245448383054,280704.207309789724523393,157689.093457906937871309,2438.023036693064632582,51597.855311421154936209,270979.990970741184,1230815.003049581742929716,120187.0909849275471335316079,1203789942.668665692545219466,0.03519999850777533,0.03640049593747347,1573219431.111594307454780534,0,1E-17
2026-08-11,25735200,86400,2774259631.79368800000000001,1869547991.801159727413700893,3085721.724835183411918353,1734164.33769803649370051,26818.253403623528838375,410329.397369336057037359,893772.072491563962,5447324.328307418742205256,278479.288122452855956981,157736.904034887680668854,2438.023036693074088125,64649.992009344031586006,65435.50918327557,1351557.387137146918217843,120091.5896853826473440061478,1200905713.334814843956114503,0.03519999850777533,0.036471329270806804,1573353918.458873156043885497,0,1E-17
2026-08-12,25742366,86400,2773259631.79368800000000001,1868739718.429034077522135445,3363925.313397730987379456,1891914.694876854718353824,29256.276440316609184201,445999.029515600233905266,980762.808229330308,5516390.588297738327771901,278203.588562547575461103,157750.357178818224653314,2438.023036693080345826,35669.632146264176867907,86990.735737766346,1472010.618520876269025632,119587.4098332272838968937325,1199749771.436208314442741889,0.03519999850777533,0.03632966260414013,1573509860.357479685557258111,0,1E-17
2026-08-13,25749550,86400,2768991187.29130300000000001,1864689857.143201320814691965,3642028.638167801582879523,2049680.710915462447112678,31694.299477009687105659,486402.945754584693482437,1090848.429561193914,5584484.26727913355475125,278103.324770070595500067,157766.016038607728758854,2438.023036693077921458,40403.916238984459577171,110085.621331863606,1592347.927252339135766845,119140.9683163425808309462637,1195302967.742008401723859547,0.03519999850777533,0.03632966260414013,1573688219.549294598276140453,0,1E-17
2026-08-14,25756720,86400,2762966938.19882900000000001,1863812086.633017118539267562,3919703.99250408953007689,2207464.65799850341001306,34132.322513702792217326,529293.230944918961889941,1176299.506259353776,10602621.487680437148919343,277675.354336287947197367,157783.947083040962900382,2438.023036693105111667,42890.285190334268407504,85451.076698159862,1712239.33450558612006383,118520.6070124321687835579984,1189123827.062581109508651866,0.03519999850777533,0.03632966260414013,1573843111.136247890491348134,0,1E-17
2026-08-15,25763887,86400,2762966938.19882900000000001,1863830366.3015522666969179,4196775.332779541930365901,2365264.076827134560158316,36570.345550395882326154,547572.899480067119540279,1176299.506259353776,10602621.487680437148919343,277071.340275452400289011,157799.418828631150145256,2438.023036693090108828,18279.668535148157650338,0,1831511.255952407370207585,118520.6070124321687835579984,1189123827.062581109508651866,0.03519999850777533,0.03632966260414013,1573843111.136247890491348134,0,1E-17
2026-08-16,25771073,86400,2762966938.19882900000000001,1863831712.181344707724236154,4473846.673054994146246937,2523063.495655765545678187,39008.368587088975147243,548918.779272508146858533,1176299.506259353776,10602621.487680437148919343,277071.340275452215881036,157799.418828630985519871,2438.023036693092821089,1345.879792441027318254,0,1950783.17739922860056875,118520.6070124321687835579984,1189123827.062581109508651866,0.03519999850777533,0.03632966260414013,1573843111.136247890491348134,0,1E-17
2026-08-17,25778250,86400,2768672626.82333500000000001,1860349826.548485372245189336,4751490.087310629550025902,2680862.91448439710966004,41446.391623782082161894,539209.022517073604259736,1415716.486918162038,1185340.006411727950471322,277643.414255635403778965,157799.418828631563981853,2438.023036693107014651,-9709.756755434542598797,239416.980658808262,2070627.172826232440365862,119824.9185326029564579881711,1194383554.145640650168900339,0.03519999850777533,0.03661299593747347,1574289072.677694349831099661,0,1E-17
2026-08-18,25785424,86400,2771951834.48506800000000001,1863830065.47633207745083046,5029534.556736171654562109,2838707.052015304663217434,44065.700019431144874791,592365.604322663354193187,1494239.097938092722,1254692.079699912722178995,278044.469425542104536207,157844.137530907553557394,2619.308395649062712897,53156.581805589749933451,78522.611019930684,2190827.504720866991344675,119945.2301788049364656667488,1197514908.213631261779572808,0.03519999850777533,0.03654216260414014,1574436926.271436738220427192,0,1E-17
2026-08-19,25792601,86400,2775952094.96398000000000001,1867015521.175463607460433412,5307907.838074798123244019,2996566.028675831088370533,46685.008415080179026514,619938.376442904728659807,1582769.492715465552,323784.133021828527315327,278373.28133862646868191,157858.976660526425153099,2619.308395649034151723,27572.77212024137446662,88530.39477737283,2311341.809398967034873486,119748.8185681132705326627228,1201357491.443020550248792518,0.03519999850777533,0.03632966260414013,1574594603.520959449751207482,0,1E-17
2026-08-20,25799779,86400,2757298252.64287400000000001,1848562281.269534374760759475,5586283.375444291468594544,3154440.824103767620327835,49304.316810729246503872,684480.75712780143086265,1672839.546532444866,369774.113696719811438547,278375.537369493345350525,157874.795427936531957302,2619.308395649067477358,64542.380684896702202843,90070.053816979314,2431842.551340523848266709,118054.1267908993700080328114,1182544443.092849632372287230,0.03519999850777533,0.03640049593747347,1574753809.550024367627712770,0,1E-17
2026-08-21,25806958,86400,2754973285.98608600000000001,1846411861.849772090294691163,5862786.351807547801271225,3312331.556078892575932208,51923.625206378307279655,705445.386975160344794338,1757520.793710801486,438675.473696719811438547,276502.976363256332676681,157890.731975124955604373,2619.308395649060775783,20964.629847358913931688,84681.24717835662,2550454.795728655225339017,118193.4548292196154915504174,1180066259.731514119161245700,0.03519999850777533,0.03654216260414014,1574907026.254571880838754300,0,1E-17
2026-08-22,25814126,86400,2754973285.98608600000000001,1846422984.896558807548659936,6139056.218196414094371185,3470237.685826034396512477,54542.933602027384452409,716568.433761877598763111,1757520.793710801486,438675.473696719811438547,276269.86638886629309996,157906.129747141820580269,2619.308395649077172754,11123.046786717253968773,0,2668818.532370379697858708,118193.4548292196154915504174,1180066259.731514119161245700,0.03519999850777533,0.03654216260414014,1574907026.254571880838754300,0,1E-17
2026-08-23,25821305,86400,2754973285.98608600000000001,1846423520.688122109466528579,6415326.084585278986791069,3628143.815573174960127407,57162.241997676446034162,717104.225325179516631754,1757520.793710801486,438675.473696719811438547,276269.866388864892419884,157906.12974714056361493,2619.308395649061581753,535.791563301917868643,0,2787182.269012104026663662,118193.4548292196154915504174,1180066259.731514119161245700,0.03519999850777533,0.03654216260414014,1574907026.254571880838754300,0,1E-17
2026-08-24,25828483,86400,2754973285.98608600000000001,1796903829.004203837224848184,6691595.950974144542426703,3781057.617536671709389052,59781.550393325522748141,752235.519307508738951359,1994628.285810200022,-49353254.996303280188561453,276269.866388865555635634,152913.801963496749261645,2619.308395649076713979,35131.293982329222319605,237107.492099398536,2910538.333437472833037651,123168.5207765198717382446832,1229620660.020536607603391512,0.03519999850777533,0.03654216260414014,1525352625.965549392396608488,0,1E-17
2026-08-25,25835657,86400,2704998286.35636800000000001,1797110907.148430897139398395,6967865.817363010683099689,3933995.192796551425610928,62400.858788974613431096,816017.61963345742150157,2068531.919711311254,691137.043414719811438547,276269.866388866140672986,152937.575259879716221876,2619.308395649090682955,63782.100325948682550211,73903.633901111232,3033870.624566459257488761,118330.9377131776085809893543,1179502681.342316292962014986,0.03519999850777533,0.03661299593747347,1525495605.014051707037985014,0,1E-17
2026-08-26,25842829,86400,2704998286.35636800000000001,1798086672.090509994947155077,7239125.000759993538357331,4086947.135461239480177748,65020.167184623708438434,869362.809953555229258252,2068531.919711311254,1613556.795173719811438547,271259.183396982855257642,152951.94266468805456682,2619.308395649095007338,53345.190320097807756682,0,3152177.865298754058179583,117936.3291538470159924602665,1179438129.942316292962014986,0.03519999850777533,0.036471329270806804,1525560156.414051707037985014,0,1E-17
