date,block,elapsed_seconds,debt,sub_usds,nav,syrup_value,alm_usds,alm_usdc,tab,gain,owe,gap,daily_tab,daily_gain,daily_owe,pipeline_daily_sky
2026-08-01,25663469,86400,399995772,23759786,402314473.582872402184,402314473.164299402184,0,0.418573,40105.093075253220766135,53011.53707691623,2382.246252788138023654,0,40105.093075253220766135,53011.53707691623,2382.246252788138023654,40157.99470349179393039943012
2026-08-02,25670641,86400,399995772,23759786,402367143.110032693148,402367142.691459693148,0,0.418573,80210.186150506683008166,105681.064237207194,4764.492505576290390998,0,40105.093075253462242031,52669.527160290964,2382.246252788152367344,40157.99470349179393039943012
2026-08-03,25677819,86400,399995772,23759786,402419470.627276358846,402419470.208703358846,0,0.418573,120315.279225760285193913,158008.581480872892,7146.738758364451071012,0,40105.093075253602185747,52327.517243665698,2382.246252788160680014,40157.99470349179393039943012
2026-08-04,25684999,86400,399995772,23759786,402470772.114770148746,402470771.696197148746,0,0.418573,160420.372301013501116475,209310.068974662792,9528.985011152588806957,0,40105.093075253215922562,51301.4874937899,2382.246252788137735945,40157.99470349179393039943012
2026-08-05,25692172,86400,399995772,23759786,402521731.59234731338,402521731.17377431338,0,0.418573,200525.465376266824680262,260269.546551827426,11911.231263940732936801,0,40105.093075253323563787,50959.477577164634,2382.246252788144129844,40157.99470349179393039943012
2026-08-06,25699361,86400,399995772,23759786,402573717.099674353812,402573716.681101353812,0,0.418573,240630.558451520318852139,312255.053878867858,14293.477516728887200781,0,40105.093075253494171877,51985.507327040432,2382.24625278815426398,40157.99470349179393039943012
2026-08-07,25706531,86400,399995772,23759786,402625360.597084768978,402625360.178511768978,0,0.418573,280735.651526773612806632,363898.551289283024,16675.72376951702957183,0,40105.093075253293954493,51643.497410415166,2382.246252788142371049,40157.99470349179393039943012
2026-08-08,25713689,86400,399995772,23759786,402677346.10441180941,402677345.68583880941,0,0.418573,320840.74460202698449666,415884.058616323456,19057.970022305176560377,0,40105.093075253371690028,51985.507327040432,2382.246252788146988547,40157.99470349179393039943012
2026-08-09,25720867,86400,399995772,23759786,402729673.621655475108,402729673.203082475108,0,0.418573,360945.837677280633739659,468211.575859989154,21440.216275093340035596,0,40105.093075253649242999,52327.517243665698,2382.246252788163475219,40157.99470349179393039943012
2026-08-10,25728039,86400,399995772,23759786,402782001.138899140806,402782000.720326140806,0,0.418573,401050.930752533955716696,520539.093103654852,23822.462527881484071187,0,40105.093075253321977037,52327.517243665698,2382.246252788144035591,40157.99470349179393039943012
2026-08-11,25735200,86400,399995772,23759786,402833986.646226181238,402833986.227653181238,0,0.418573,441156.023827787346820697,572524.600430695284,26204.708780669632212926,0,40105.093075253391104001,51985.507327040432,2382.246252788148141739,40157.99470349179393039943012
2026-08-12,25742366,86400,399995772,23759786,402885972.15355322167,402885971.73498022167,0,0.418573,481261.116903040754439486,624510.107757735716,28586.955033457781335645,0,40105.093075253407618789,51985.507327040432,2382.246252788149122719,40157.99470349179393039943012
2026-08-13,25749550,86400,399995772,23759786,402937615.650963636836,402937615.232390636836,0,0.418573,521366.209978294035746188,676153.605168150882,30969.201286245922955414,0,40105.093075253281306702,51643.497410415166,2382.246252788141619769,40157.99470349179393039943012
2026-08-14,25756720,86400,399995772,23759786,402989601.158290677268,402989600.739717677268,0,0.418573,561471.303053547677887724,728139.112495191314,33351.447539034086008806,0,40105.093075253642141536,51985.507327040432,2382.246252788163053392,40157.99470349179393039943012
2026-08-15,25763887,86400,399995772,23759786,403041244.655701092434,403041244.237128092434,0,0.418573,601576.396128800986786941,779782.60990560648,35733.693791822229267573,0,40105.093075253308899217,51643.497410415166,2382.246252788143258767,40157.99470349179393039943012
2026-08-16,25771073,86400,399995772,23759786,403093230.163028132866,403093229.744455132866,0,0.418573,641681.489204054253846229,831768.117232646912,38115.940044610370041044,0,40105.093075253267059288,51985.507327040432,2382.246252788140773471,40157.99470349179393039943012
2026-08-17,25778250,86400,402531740,24676522,403144873.660438548032,403144873.241865548032,0,0.418573,682040.848048586509825322,883411.614643062078,40498.186297398519547367,-2535968,40359.358844532255979093,51643.497410415166,2382.246252788149506323,40412.59586840666877480175341
